magnitude	phi	phi_sigma	hist
-26.541666666666664	-5.9608474047107975	0.0	0.0
-25.625	-5.9608474047107975	0.0	0.0
-24.708333333333336	-5.9608474047107975	0.0	0.0
-23.791666666666664	-4.675669748677837	2.1102322275909798e-05	1.0
-22.875	-4.1985484939581745	3.6550294339568277e-05	3.0
-21.958333333333336	-3.83057170866358	5.583149682799587e-05	7.0
-21.041666666666668	-3.7214272392385124	6.33069668277294e-05	9.0
-20.125	-3.2443059845188498	0.00010965088301870484	27.0
-19.208333333333336	-3.1705197703579313	0.00011937276144063808	32.0
-18.291666666666668	-2.9432759888548685	0.00015506976589123807	54.0
-17.375	-2.6112117594509185	0.00022727896653807988	116.0
-16.458333333333336	-2.592884378361387	0.00023212554503500779	121.0
