magnitude	phi	phi_sigma	hist
-26.541666666666664	-5.973154549029759	0.0	0.0
-25.625	-5.973154549029759	0.0	0.0
-24.708333333333336	-4.374639753013856	2.984319036015952e-05	2.0
-23.791666666666664	-3.83057170866358	5.583149682799587e-05	7.0
-22.875	-3.561726396371	7.608550499715873e-05	13.0
-21.958333333333336	-3.471549766021912	8.440928910363919e-05	16.0
-21.041666666666668	-3.0422012930982505	0.00013837718104428717	43.0
-20.125	-2.9274817216716364	0.0001579153200434844	56.0
-19.208333333333336	-2.6933985156382687	0.0002067596878549841	96.0
-18.291666666666668	-2.707186800123902	0.00020350342627479612	93.0
-17.375	-2.5203337112127753	0.00025234707206028633	143.0
-16.458333333333336	-2.479770096268603	0.0002644113402513371	157.0
