magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.98149145992868	0.0	0.0
-25.375	-5.98149145992868	0.0	0.0
-24.291666666666664	-4.447190420162467	2.5251930304750423e-05	2.0
-23.208333333333336	-3.5721291567707665	6.915525924230054e-05	15.0
-22.125	-3.2167414987841925	0.00010411637589722156	34.0
-21.041666666666668	-3.0322170721916484	0.0001287600853798074	52.0
-19.958333333333336	-2.7270311167565096	0.0001829676178073283	105.0
-18.875	-2.5255039446788645	0.00023074793319482565	167.0
-17.791666666666668	-2.4260011210925283	0.00025875528657822073	210.0
-16.708333333333336	-2.31046985300606	0.00029556626638351045	274.0
-15.625	-2.1955521997142546	0.00033737561732392744	357.0
-14.541666666666668	-2.1494299090633326	0.0003557745168600761	397.0
