magnitude	phi	phi_sigma	hist
-24.541666666666664	-4.1985484939581745	3.6550294339568277e-05	3.0
-23.625	-4.1985484939581745	3.6550294339568277e-05	3.0
-22.708333333333336	-3.471549766021912	8.440928910363919e-05	16.0
-21.791666666666664	-3.1843080548435645	0.0001174927579407647	31.0
-20.875	-2.99442851130225	0.0001462011773582731	48.0
-19.958333333333336	-2.6670695769159196	0.00021312300803645907	102.0
-19.041666666666668	-2.622591305194417	0.00022432076278023968	113.0
-18.125	-2.575299203560274	0.0002368729800652266	126.0
-17.208333333333336	-2.435120500395237	0.00027835874864269393	174.0
-16.291666666666668	-2.3576064137150756	0.0003043420199886349	208.0
-15.375	-2.2990927916213253	0.00032555077222125187	238.0
-14.458333333333334	-2.3293167742271983	0.00031441752051511327	222.0
