magnitude	phi	phi_sigma	hist
-26.541666666666664	-5.977501834495673	0.0	0.0
-25.625	-5.977501834495673	0.0	0.0
-24.708333333333336	-5.977501834495673	0.0	0.0
-23.791666666666664	-5.977501834495673	0.0	0.0
-22.875	-5.977501834495673	0.0	0.0
-21.958333333333336	-5.977501834495673	0.0	0.0
-21.041666666666668	-5.977501834495673	0.0	0.0
-20.125	-4.374639753013856	2.984319036015952e-05	2.0
-19.208333333333336	-3.499578489622156	8.172894274090046e-05	15.0
-18.291666666666668	-3.0322170721916497	0.00013997697038870284	44.0
-17.375	-2.6264517260076556	0.0002233259873119835	112.0
-16.458333333333336	-2.568459779029969	0.00023874552288127615	128.0
