magnitude	phi	phi_sigma	hist
-24.541666666666664	-5.982603321863982	0.0	0.0
-23.625	-5.982603321863982	0.0	0.0
-22.708333333333336	-5.982603321863982	0.0	0.0
-21.791666666666664	-4.1985484939581745	3.6550294339568277e-05	3.0
-20.875	-3.499578489622156	8.172894274090046e-05	15.0
-19.958333333333336	-3.260696400707019	0.00010760115306698777	26.0
-19.041666666666668	-2.806438028946861	0.00018152904010733536	74.0
-18.125	-2.6187648973413644	0.00022531114623947242	114.0
-17.208333333333336	-2.3790045584163058	0.00029693599491540106	198.0
-16.291666666666668	-2.2865036643133045	0.0003303035896442967	245.0
-15.375	-2.3083138276518183	0.0003221129697275036	233.0
-14.458333333333334	-2.315834266337949	0.00031933608196526463	229.0
