magnitude	phi	phi_sigma	hist
-24.541666666666664	-5.959293950852638	0.0	0.0
-23.625	-4.374639753013856	2.984319036015952e-05	2.0
-22.708333333333336	-3.9766997443418184	4.718622709204239e-05	5.0
-21.791666666666664	-3.11936724791055	0.0001266139336554588	36.0
-20.875	-2.7411712974342692	0.00019569488615578813	86.0
-19.958333333333336	-2.4155983606927625	0.00028468589179904457	182.0
-19.041666666666668	-2.6264517260076556	0.0002233259873119835	112.0
-18.125	-2.4376236455490417	0.00027755771461173643	173.0
-17.208333333333336	-2.532654948423742	0.0002487927104150238	139.0
-16.291666666666668	-2.403828142141338	0.00028856991703328874	187.0
-15.375	-2.3432312887622317	0.00030942078334982145	215.0
-14.458333333333334	-2.321561309530436	0.00031723746504569276	226.0
