magnitude	phi	phi_sigma	hist
-24.541666666666664	-5.983629935911935	0.0	0.0
-23.625	-5.983629935911935	0.0	0.0
-22.708333333333336	-3.675669748677837	6.673140231078311e-05	10.0
-21.791666666666664	-3.0422012930982505	0.00013837718104428717	43.0
-20.875	-2.8763291992242555	0.00016749449048398762	63.0
-19.958333333333336	-2.5357906622766007	0.00024789615719130766	138.0
-19.041666666666668	-2.458185804463931	0.00027106423758400743	165.0
-18.125	-2.532654948423742	0.0002487927104150238	139.0
-17.208333333333336	-2.3946363814301095	0.0002916398961705078	191.0
-16.291666666666668	-2.368173710764624	0.000300661811847765	203.0
-15.375	-2.264050042714607	0.0003389534856032323	258.0
-14.458333333333334	-2.2865036643133045	0.0003303035896442967	245.0
