magnitude	phi	phi_sigma	hist
-26.541666666666664	-5.9707308143575215	0.0	0.0
-25.625	-5.9707308143575215	0.0	0.0
-24.708333333333336	-5.9707308143575215	0.0	0.0
-23.791666666666664	-5.9707308143575215	0.0	0.0
-22.875	-4.1985484939581745	3.6550294339568277e-05	3.0
-21.958333333333336	-3.1316017043275615	0.00012484302219296263	35.0
-21.041666666666668	-2.8561258131359684	0.00017143607659649617	66.0
-20.125	-2.5357906622766007	0.00024789615719130766	138.0
-19.208333333333336	-2.5143017464428623	0.00025410560951752333	145.0
-18.291666666666668	-2.5485649503130294	0.00024427704093604887	134.0
-17.375	-2.4909783178602383	0.0002610213110682017	153.0
-16.458333333333336	-2.435120500395237	0.00027835874864269393	174.0
