magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.993336798372218	0.0	0.0
-25.375	-5.993336798372218	0.0	0.0
-24.291666666666664	-5.993336798372218	0.0	0.0
-23.208333333333336	-5.993336798372218	0.0	0.0
-22.125	-5.993336798372218	0.0	0.0
-21.041666666666668	-5.993336798372218	0.0	0.0
-19.958333333333336	-3.793977906387123	5.3567433469617314e-05	9.0
-18.875	-2.8789886960954716	0.00015360149547543798	74.0
-17.791666666666668	-2.401867441375809	0.00026604559428201956	222.0
-16.708333333333336	-2.156043658430581	0.00035307580899103335	391.0
-15.625	-2.0845194904368	0.00038338052420373636	461.0
-14.541666666666668	-2.0297187269591737	0.0004083479960111557	523.0
