magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.971962132107656	0.0	0.0
-25.375	-5.971962132107656	0.0	0.0
-24.291666666666664	-5.971962132107656	0.0	0.0
-23.208333333333336	-5.971962132107656	0.0	0.0
-22.125	-5.971962132107656	0.0	0.0
-21.041666666666668	-3.845130428834504	5.0503860609500846e-05	8.0
-19.958333333333336	-3.748220415826448	5.646503272450892e-05	10.0
-18.875	-3.3502804071544103	8.927905578269552e-05	25.0
-17.791666666666668	-3.1919179150591606	0.00010713486693923463	36.0
-16.708333333333336	-2.884897555705992	0.00015256011739715264	73.0
-15.625	-2.5606996949899847	0.00022158478913709284	154.0
-14.541666666666668	-2.5126919689188987	0.00023417676792110193	172.0
