magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.959402888383049	0.0	0.0
-25.375	-5.959402888383049	0.0	0.0
-24.291666666666664	-4.748220415826448	1.78558111565391e-05	1.0
-23.208333333333336	-3.845130428834504	5.0503860609500846e-05	8.0
-22.125	-3.492947910723142	7.575579091425126e-05	18.0
-21.041666666666668	-3.4471904201624666	7.985361507884115e-05	20.0
-19.958333333333336	-3.1571558087999487	0.0001115095049323665	39.0
-18.875	-2.793977906387123	0.00016939509817352676	90.0
-17.791666666666668	-2.399915552778287	0.00026664412280965607	223.0
-16.708333333333336	-2.4137666646755167	0.0002624257576620958	216.0
-15.625	-2.4157819559108424	0.00026181758591138806	215.0
-14.541666666666668	-2.421884554897696	0.00025998453476369144	212.0
