magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.996146687661455	0.0	0.0
-25.375	-5.996146687661455	0.0	0.0
-24.291666666666664	-4.748220415826448	1.78558111565391e-05	1.0
-23.208333333333336	-3.706827730668223	5.922102593368211e-05	11.0
-22.125	-3.180018691759453	0.00010861265905107697	37.0
-21.041666666666668	-2.6583153043870498	0.0001980305254831495	123.0
-19.958333333333336	-2.38838493348656	0.00027020745397060916	229.0
-18.875	-2.1943373891825733	0.00033784780176398827	358.0
-17.791666666666668	-1.9087423684522493	0.00046937354475094626	691.0
-16.708333333333336	-1.7695834674419735	0.0005509320760667352	952.0
-15.625	-1.8218779692007927	0.0005187412778032422	844.0
-14.541666666666668	-1.9707935934371363	0.00043701163055773906	599.0
