magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.971101344863216	0.0	0.0
-25.375	-5.971101344863216	0.0	0.0
-24.291666666666664	-5.971101344863216	0.0	0.0
-23.208333333333336	-5.971101344863216	0.0	0.0
-22.125	-3.544100433170523	7.14232446261564e-05	16.0
-21.041666666666668	-3.1461604244984853	0.00011293006544901785	40.0
-19.958333333333336	-2.8239411297645662	0.00016365121243935485	84.0
-18.875	-2.7525852212288977	0.00017766307780104636	99.0
-17.791666666666668	-2.5779587004314903	0.00021722531810215395	148.0
-16.708333333333336	-2.5387054012838166	0.00022726737274275378	162.0
-15.625	-2.627646484620598	0.00020514765158698308	132.0
-14.541666666666668	-2.6837624265995292	0.00019231297168606804	116.0
