magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.976337536522088	0.0	0.0
-25.375	-5.976337536522088	0.0	0.0
-24.291666666666664	-5.976337536522088	0.0	0.0
-23.208333333333336	-5.976337536522088	0.0	0.0
-22.125	-4.447190420162467	2.5251930304750423e-05	2.0
-21.041666666666668	-3.492947910723142	7.575579091425126e-05	18.0
-19.958333333333336	-2.970069165442804	0.0001383105184846011	60.0
-18.875	-2.644416694870491	0.00020122477231037997	127.0
-17.791666666666668	-2.566376827881675	0.00022014122465547863	152.0
-16.708333333333336	-2.421884554897696	0.00025998453476369144	212.0
-15.625	-2.4450243584059588	0.0002531498141489645	201.0
-14.541666666666668	-2.492947910723142	0.00023956084523652345	180.0
