magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.964179157857729	0.0	0.0
-25.375	-5.964179157857729	0.0	0.0
-24.291666666666664	-5.964179157857729	0.0	0.0
-23.208333333333336	-5.964179157857729	0.0	0.0
-22.125	-4.748220415826448	1.78558111565391e-05	1.0
-21.041666666666668	-4.748220415826448	1.78558111565391e-05	1.0
-19.958333333333336	-3.4260011210925283	8.182560621967743e-05	21.0
-18.875	-2.7396202440645303	0.00018033485295392734	102.0
-17.791666666666668	-2.500247149464641	0.0002375561167266875	177.0
-16.708333333333336	-2.396037897715085	0.00026783716734808655	225.0
-15.625	-2.3433866992065098	0.0002845748020867774	254.0
-14.541666666666668	-2.313651511792249	0.00029448558171797184	272.0
