magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.964703574894042	0.0	0.0
-25.375	-5.964703574894042	0.0	0.0
-24.291666666666664	-5.964703574894042	0.0	0.0
-23.208333333333336	-4.748220415826448	1.78558111565391e-05	1.0
-22.125	-3.5721291567707665	6.915525924230054e-05	15.0
-21.041666666666668	-2.9628905808156807	0.00013945834329840995	61.0
-19.958333333333336	-2.9773684041843036	0.0001371530879397952	59.0
-18.875	-2.8731591524347477	0.00015463586066740464	75.0
-17.791666666666668	-2.8239411297645662	0.00016365121243935485	84.0
-16.708333333333336	-2.718836638141238	0.00018470194679592454	107.0
-15.625	-2.7569943401339527	0.00017676351213325293	98.0
-14.541666666666668	-2.699002393156266	0.00018896814311014033	112.0
