magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.988019960497853	0.0	0.0
-25.375	-5.988019960497853	0.0	0.0
-24.291666666666664	-5.988019960497853	0.0	0.0
-23.208333333333336	-4.049250411490429	3.992680753942058e-05	5.0
-22.125	-3.3502804071544103	8.927905578269552e-05	25.0
-21.041666666666668	-2.718836638141238	0.00018470194679592454	107.0
-19.958333333333336	-2.460418685896222	0.00024870267079235266	194.0
-18.875	-2.4097639222218428	0.0002636378923232414	218.0
-17.791666666666668	-2.3520210687307115	0.00028175994751284046	249.0
-16.708333333333336	-2.3572853087230685	0.00028005745490214086	246.0
-15.625	-2.2873225730699	0.0003035487896611648	289.0
-14.541666666666668	-2.380864494800429	0.0002725571282309652	233.0
