magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.969888814147323	0.0	0.0
-25.375	-5.969888814147323	0.0	0.0
-24.291666666666664	-5.969888814147323	0.0	0.0
-23.208333333333336	-5.969888814147323	0.0	0.0
-22.125	-3.793977906387123	5.3567433469617314e-05	9.0
-21.041666666666668	-3.0078577263322037	0.00013242223968499116	55.0
-19.958333333333336	-2.541394539794598	0.00022656484440737002	161.0
-18.875	-2.5578887176561564	0.00022230305613955893	155.0
-17.791666666666668	-2.4137666646755167	0.0002624257576620958	216.0
-16.708333333333336	-2.375308412856341	0.0002743061758795904	236.0
-15.625	-2.36982251487831	0.00027604414158220915	239.0
-14.541666666666668	-2.41984081238771	0.00026059698445751647	213.0
