magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.969010582450992	0.0	0.0
-25.375	-5.969010582450992	0.0	0.0
-24.291666666666664	-5.969010582450992	0.0	0.0
-23.208333333333336	-4.146160424498485	3.57116223130782e-05	4.0
-22.125	-3.970069165442804	4.373762627701597e-05	6.0
-21.041666666666668	-3.4471904201624666	7.985361507884115e-05	20.0
-19.958333333333336	-3.2710991611067852	9.780030552988876e-05	30.0
-18.875	-3.0078577263322037	0.00013242223968499116	55.0
-17.791666666666668	-2.8674068235456565	0.00015566335277260017	76.0
-16.708333333333336	-2.5990013031710677	0.00021202600991429346	141.0
-15.625	-2.627646484620598	0.00020514765158698308	132.0
-14.541666666666668	-2.5101743126976523	0.0002348565277483929	173.0
