magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.969001192492922	0.0	0.0
-25.375	-5.969001192492922	0.0	0.0
-24.291666666666664	-5.969001192492922	0.0	0.0
-23.208333333333336	-5.969001192492922	0.0	0.0
-22.125	-4.748220415826448	1.78558111565391e-05	1.0
-21.041666666666668	-3.6690391697788227	6.185434426696184e-05	12.0
-19.958333333333336	-3.0854625841448735	0.00012110400338001783	46.0
-18.875	-2.731187076527667	0.00018209425903644127	104.0
-17.791666666666668	-2.397972397492285	0.0002672413108428204	224.0
-16.708333333333336	-2.1571558087999487	0.0003526240163440582	390.0
-15.625	-2.1429153696853382	0.0003584529073663213	403.0
-14.541666666666668	-2.0678849024118846	0.0003907935083848956	479.0
