magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.961460643602181	0.0	0.0
-25.375	-5.961460643602181	0.0	0.0
-24.291666666666664	-5.961460643602181	0.0	0.0
-23.208333333333336	-5.961460643602181	0.0	0.0
-22.125	-4.748220415826448	1.78558111565391e-05	1.0
-21.041666666666668	-3.748220415826448	5.646503272450892e-05	10.0
-19.958333333333336	-3.0854625841448735	0.00012110400338001783	46.0
-18.875	-2.839735396947798	0.00016070230040885194	81.0
-17.791666666666668	-2.7396202440645303	0.00018033485295392734	102.0
-16.708333333333336	-2.5721291567707665	0.00021868813138507985	150.0
-15.625	-2.563528985008849	0.00022086418628847887	153.0
-14.541666666666668	-2.3662033732515795	0.00027719673173754177	241.0
