magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.96878844833898	0.0	0.0
-25.375	-5.96878844833898	0.0	0.0
-24.291666666666664	-4.271099161106785	3.092717213348092e-05	3.0
-23.208333333333336	-3.3332470678556296	9.104712951822064e-05	26.0
-22.125	-2.803737743676279	0.00016750235610612406	88.0
-21.041666666666668	-2.5990013031710677	0.00021202600991429346	141.0
-19.958333333333336	-2.3010623844842284	0.000298784868720349	280.0
-18.875	-2.3468198750449036	0.0002834522146652105	252.0
-17.791666666666668	-2.18237259715293	0.0003425338480753967	368.0
-16.708333333333336	-2.0864077302891864	0.0003825479922240028	459.0
-15.625	-2.047516698681428	0.0004000658146019341	502.0
-14.541666666666668	-2.0239445462256587	0.0004110716431362454	530.0
