magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.968401399466829	0.0	0.0
-25.375	-4.447190420162467	2.5251930304750423e-05	2.0
-24.291666666666664	-3.748220415826448	5.646503272450892e-05	10.0
-23.208333333333336	-3.6020923801482096	6.68103277107051e-05	14.0
-22.125	-3.3502804071544103	8.927905578269552e-05	25.0
-21.041666666666668	-3.1461604244984853	0.00011293006544901785	40.0
-19.958333333333336	-2.714796660339498	0.00018556303280088557	108.0
-18.875	-2.6083413294252114	0.00020975828685418393	138.0
-17.791666666666668	-2.474062566562768	0.00024482654779843917	188.0
-16.708333333333336	-2.3485466943454094	0.0002828892504259477	251.0
-15.625	-2.2710991611067852	0.0003092717213348093	300.0
-14.541666666666668	-2.30731133376123	0.000296643014089333	276.0
