magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.969597013436166	0.0	0.0
-25.375	-5.969597013436166	0.0	0.0
-24.291666666666664	-5.969597013436166	0.0	0.0
-23.208333333333336	-5.969597013436166	0.0	0.0
-22.125	-4.146160424498485	3.57116223130782e-05	4.0
-21.041666666666668	-3.492947910723142	7.575579091425126e-05	18.0
-19.958333333333336	-2.563528985008849	0.00022086418628847887	153.0
-18.875	-2.36982251487831	0.00027604414158220915	239.0
-17.791666666666668	-2.2444297327692664	0.00031891498470046467	319.0
-16.708333333333336	-2.2180207176233657	0.00032876034935444597	339.0
-15.625	-2.3485466943454094	0.0002828892504259477	251.0
-14.541666666666668	-2.368009174114842	0.0002766210369692022	240.0
