magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.984180236922249	0.0	0.0
-25.375	-5.984180236922249	0.0	0.0
-24.291666666666664	-5.984180236922249	0.0	0.0
-23.208333333333336	-5.984180236922249	0.0	0.0
-22.125	-4.748220415826448	1.78558111565391e-05	1.0
-21.041666666666668	-3.2167414987841925	0.00010411637589722156	34.0
-19.958333333333336	-2.789179023505354	0.00017033358235320702	91.0
-18.875	-2.592884378361386	0.00021352444558947353	143.0
-17.791666666666668	-2.32497454188964	0.0002906715464151357	265.0
-16.708333333333336	-2.1450760432062657	0.00035756233976084865	401.0
-15.625	-2.1979920627713536	0.00033642926029194486	355.0
-14.541666666666668	-2.136497107819106	0.00036111143259625055	409.0
