magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.995435640826853	0.0	0.0
-25.375	-5.995435640826853	0.0	0.0
-24.291666666666664	-5.995435640826853	0.0	0.0
-23.208333333333336	-4.748220415826448	1.78558111565391e-05	1.0
-22.125	-4.447190420162467	2.5251930304750423e-05	2.0
-21.041666666666668	-3.793977906387123	5.3567433469617314e-05	9.0
-19.958333333333336	-2.839735396947798	0.00016070230040885194	81.0
-18.875	-2.818801490112155	0.0001646224447787386	85.0
-17.791666666666668	-2.4905418409572633	0.00024022537035562152	181.0
-16.708333333333336	-2.315251124952042	0.0002939437494618899	271.0
-15.625	-2.211661973254918	0.00033117596118671915	344.0
-14.541666666666668	-2.1322703641700467	0.00036287296223327025	413.0
