magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.982399001811566	0.0	0.0
-25.375	-5.982399001811566	0.0	0.0
-24.291666666666664	-5.982399001811566	0.0	0.0
-23.208333333333336	-4.748220415826448	1.78558111565391e-05	1.0
-22.125	-4.748220415826448	1.78558111565391e-05	1.0
-21.041666666666668	-4.447190420162467	2.5251930304750423e-05	2.0
-19.958333333333336	-3.5177714944481737	7.362139542949296e-05	17.0
-18.875	-3.256858721992175	9.941694902680113e-05	31.0
-17.791666666666668	-3.1571558087999487	0.0001115095049323665	39.0
-16.708333333333336	-3.114751960246861	0.00011708838396055096	43.0
-15.625	-2.9923455601539564	0.00013480841793933056	57.0
-14.541666666666668	-2.9093713250891926	0.0001483215070446665	69.0
