magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.966044844473823	0.0	0.0
-25.375	-5.966044844473823	0.0	0.0
-24.291666666666664	-5.966044844473823	0.0	0.0
-23.208333333333336	-4.146160424498485	3.57116223130782e-05	4.0
-22.125	-3.4471904201624666	7.985361507884115e-05	20.0
-21.041666666666668	-2.8908879193951793	0.0001515115818285025	72.0
-19.958333333333336	-2.775092562226749	0.00017311851216276876	94.0
-18.875	-2.970069165442804	0.0001383105184846011	60.0
-17.791666666666668	-2.839735396947798	0.00016070230040885194	81.0
-16.708333333333336	-2.789179023505354	0.00017033358235320702	91.0
-15.625	-2.6309491201706834	0.0002043690998159854	131.0
-14.541666666666668	-2.6690391697788227	0.00019560061105977752	120.0
