magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.992789266123097	0.0	0.0
-25.375	-5.992789266123097	0.0	0.0
-24.291666666666664	-5.992789266123097	0.0	0.0
-23.208333333333336	-5.992789266123097	0.0	0.0
-22.125	-5.992789266123097	0.0	0.0
-21.041666666666668	-4.447190420162467	2.5251930304750423e-05	2.0
-19.958333333333336	-4.271099161106785	3.092717213348092e-05	3.0
-18.875	-3.2297064759485603	0.00010257382579349154	33.0
-17.791666666666668	-2.563528985008849	0.00022086418628847887	153.0
-16.708333333333336	-2.1907132139207897	0.00033926041197424294	361.0
-15.625	-1.9751657224621852	0.0004348174160384861	593.0
-14.541666666666668	-1.9240945819098987	0.00046115030597699576	667.0
