magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.997005669449964	0.0	0.0
-25.375	-5.997005669449964	0.0	0.0
-24.291666666666664	-5.997005669449964	0.0	0.0
-23.208333333333336	-5.997005669449964	0.0	0.0
-22.125	-4.748220415826448	1.78558111565391e-05	1.0
-21.041666666666668	-4.146160424498485	3.57116223130782e-05	4.0
-19.958333333333336	-3.000032388820247	0.0001336206554214102	56.0
-18.875	-2.453754189664855	0.0002506182523987894	197.0
-17.791666666666668	-2.1008374457118277	0.000376245287643242	444.0
-16.708333333333336	-1.9087423684522493	0.00046937354475094626	691.0
-15.625	-1.7068277306682227	0.0005922102593368212	1100.0
-14.541666666666668	-1.673403975181273	0.0006154429547609491	1188.0
