magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.976674717510531	0.0	0.0
-25.375	-5.976674717510531	0.0	0.0
-24.291666666666664	-5.976674717510531	0.0	0.0
-23.208333333333336	-5.976674717510531	0.0	0.0
-22.125	-4.447190420162467	2.5251930304750423e-05	2.0
-21.041666666666668	-4.146160424498485	3.57116223130782e-05	4.0
-19.958333333333336	-3.634277063519611	6.43800426899037e-05	13.0
-18.875	-3.180018691759453	0.00010861265905107697	37.0
-17.791666666666668	-2.955828726328194	0.00014059679764345684	62.0
-16.708333333333336	-2.62111561746164	0.00020669595771511878	134.0
-15.625	-2.6178866473314417	0.00020746577772690162	135.0
-14.541666666666668	-2.589857923731198	0.00021426973387846926	144.0
