magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.975745530247046	0.0	0.0
-25.375	-5.975745530247046	0.0	0.0
-24.291666666666664	-5.975745530247046	0.0	0.0
-23.208333333333336	-5.975745530247046	0.0	0.0
-22.125	-4.271099161106785	3.092717213348092e-05	3.0
-21.041666666666668	-4.146160424498485	3.57116223130782e-05	4.0
-19.958333333333336	-3.5177714944481737	7.362139542949296e-05	17.0
-18.875	-3.0406502397285116	0.00012751599740800095	51.0
-17.791666666666668	-2.6690391697788227	0.00019560061105977752	120.0
-16.708333333333336	-2.5838675600420107	0.00021575258710028485	146.0
-15.625	-2.7229145505616774	0.00018383682753503596	106.0
-14.541666666666668	-2.611499848670041	0.00020899691124976974	137.0
