magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.990996101982049	0.0	0.0
-25.375	-5.990996101982049	0.0	0.0
-24.291666666666664	-5.990996101982049	0.0	0.0
-23.208333333333336	-5.990996101982049	0.0	0.0
-22.125	-4.447190420162467	2.5251930304750423e-05	2.0
-21.041666666666668	-3.903122375812191	4.724203577753508e-05	7.0
-19.958333333333336	-2.8674068235456565	0.00015566335277260017	76.0
-18.875	-2.575034147414174	0.0002179579519463329	149.0
-17.791666666666668	-2.368009174114842	0.0002766210369692022	240.0
-16.708333333333336	-2.245793295842015	0.0003184147255929594	318.0
-15.625	-2.209144317033671	0.00033213728675363037	346.0
-14.541666666666668	-2.2710991611067852	0.0003092717213348093	300.0
