magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.991767960279996	0.0	0.0
-25.375	-5.991767960279996	0.0	0.0
-24.291666666666664	-5.991767960279996	0.0	0.0
-23.208333333333336	-5.991767960279996	0.0	0.0
-22.125	-4.271099161106785	3.092717213348092e-05	3.0
-21.041666666666668	-3.3010623844842284	9.448407155507016e-05	28.0
-19.958333333333336	-3.1684368192096377	0.00011007061232773932	38.0
-18.875	-2.970069165442804	0.0001383105184846011	60.0
-17.791666666666668	-2.7396202440645303	0.00018033485295392734	102.0
-16.708333333333336	-2.7229145505616774	0.00018383682753503596	106.0
-15.625	-2.884897555705992	0.00015256011739715264	73.0
-14.541666666666668	-2.761448681560203	0.00017585934501647806	97.0
