magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.961633672881533	0.0	0.0
-25.375	-5.961633672881533	0.0	0.0
-24.291666666666664	-5.961633672881533	0.0	0.0
-23.208333333333336	-4.748220415826448	1.78558111565391e-05	1.0
-22.125	-3.793977906387123	5.3567433469617314e-05	9.0
-21.041666666666668	-3.243070437506542	0.00010100772121900169	32.0
-19.958333333333336	-2.928676480284579	0.00014506129558165094	66.0
-18.875	-2.955828726328194	0.00014059679764345684	62.0
-17.791666666666668	-2.798830409181535	0.0001684513855483557	89.0
-16.708333333333336	-2.7270311167565096	0.0001829676178073283	105.0
-15.625	-2.789179023505354	0.00017033358235320702	91.0
-14.541666666666668	-2.8789886960954716	0.00015360149547543798	74.0
