magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.997829972352418	0.0	0.0
-25.375	-5.997829972352418	0.0	0.0
-24.291666666666664	-5.997829972352418	0.0	0.0
-23.208333333333336	-4.748220415826448	1.78558111565391e-05	1.0
-22.125	-3.748220415826448	5.646503272450892e-05	10.0
-21.041666666666668	-3.2167414987841925	0.00010411637589722156	34.0
-19.958333333333336	-2.9221456131256214	0.00014615611334420838	67.0
-18.875	-2.6726734544339172	0.00019478390347998567	119.0
-17.791666666666668	-2.481048687423434	0.00024286528885521594	185.0
-16.708333333333336	-2.15827081450074	0.0003521716441034921	389.0
-15.625	-2.071526806201581	0.0003891583819315004	475.0
-14.541666666666668	-2.0381030507146316	0.00040442525381799167	513.0
