magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.993900530843738	0.0	0.0
-25.375	-5.993900530843738	0.0	0.0
-24.291666666666664	-5.993900530843738	0.0	0.0
-23.208333333333336	-5.993900530843738	0.0	0.0
-22.125	-3.903122375812191	4.724203577753508e-05	7.0
-21.041666666666668	-3.748220415826448	5.646503272450892e-05	10.0
-19.958333333333336	-3.3332470678556296	9.104712951822064e-05	26.0
-18.875	-2.7797374672725126	0.0001721952068479048	93.0
-17.791666666666668	-2.552320763417214	0.00022373267252036267	157.0
-16.708333333333336	-2.288827928067217	0.000303023163657005	288.0
-15.625	-2.312057768785692	0.0002950264188709721	273.0
-14.541666666666668	-2.313651511792249	0.00029448558171797184	272.0
