magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.986319540682303	0.0	0.0
-25.375	-5.986319540682303	0.0	0.0
-24.291666666666664	-5.986319540682303	0.0	0.0
-23.208333333333336	-5.986319540682303	0.0	0.0
-22.125	-5.986319540682303	0.0	0.0
-21.041666666666668	-4.748220415826448	1.78558111565391e-05	1.0
-19.958333333333336	-3.0854625841448735	0.00012110400338001783	46.0
-18.875	-2.5126919689188987	0.00023417676792110193	172.0
-17.791666666666668	-2.2754639665092355	0.00030772147738047456	297.0
-16.708333333333336	-2.1571558087999487	0.0003526240163440582	390.0
-15.625	-2.254065821808005	0.0003153965084177245	312.0
-14.541666666666668	-2.32826466733669	0.0002895725952352025	263.0
