magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.996304462618607	0.0	0.0
-25.375	-5.996304462618607	0.0	0.0
-24.291666666666664	-5.996304462618607	0.0	0.0
-23.208333333333336	-5.996304462618607	0.0	0.0
-22.125	-5.996304462618607	0.0	0.0
-21.041666666666668	-3.970069165442804	4.373762627701597e-05	6.0
-19.958333333333336	-3.058024335797934	0.00012499067809577374	49.0
-18.875	-2.500247149464641	0.0002375561167266875	177.0
-17.791666666666668	-2.2710991611067852	0.0003092717213348093	300.0
-16.708333333333336	-2.276928704767509	0.00030720299095087595	296.0
-15.625	-2.2798730854142906	0.0003061633839391118	294.0
-14.541666666666668	-2.2624989893448677	0.0003123491276916646	306.0
