magnitude	phi	phi_sigma	hist
-26.458333333333336	-5.96730652935015	0.0	0.0
-25.375	-5.96730652935015	0.0	0.0
-24.291666666666664	-5.96730652935015	0.0	0.0
-23.208333333333336	-3.970069165442804	4.373762627701597e-05	6.0
-22.125	-3.180018691759453	0.00010861265905107697	37.0
-21.041666666666668	-3.015826656003479	0.0001312128788310479	54.0
-19.958333333333336	-2.634277063519611	0.00020358757075896903	130.0
-18.875	-2.5606996949899847	0.00022158478913709284	154.0
-17.791666666666668	-2.488149027841373	0.00024088806229149984	182.0
-16.708333333333336	-2.315251124952042	0.0002939437494618899	271.0
-15.625	-2.2843274268405405	0.00030459732055432466	291.0
-14.541666666666668	-2.30731133376123	0.000296643014089333	276.0
