phi	phi_sigma	hist	SN2
0.00046732555388745835	7.581021548234424e-05	38.0	3.7
0.0005165177174545592	7.970041411801176e-05	42.0	3.7
0.0005165177174545592	7.970041411801176e-05	42.0	3.7
0.0004427294721039079	7.378824535065131e-05	36.0	3.7
0.00046732555388745835	7.581021548234424e-05	38.0	3.7
0.00034434514496970613	6.507511562588048e-05	28.0	3.7
0.0002582588587272796	5.635670328622216e-05	21.0	3.7
0.00020906669516017874	5.070612158495444e-05	17.0	3.7
0.00023366277694372917	5.360591745077901e-05	19.0	3.7
0.00020906669516017874	5.070612158495444e-05	17.0	3.7
0.0001229804089177522	3.888981997589799e-05	10.0	3.7
0.0002459608178355044	5.499851084816305e-05	20.0	5.233
0.00040583534942858227	7.064686633248915e-05	33.0	5.233
0.00040583534942858227	7.064686633248915e-05	33.0	5.233
0.0005411137992381097	8.157597458893224e-05	44.0	5.233
0.0006394981263723114	8.868243404609688e-05	52.0	5.233
0.000393537308536807	6.956822487906972e-05	32.0	5.233
0.000393537308536807	6.956822487906972e-05	32.0	5.233
0.0003197490631861557	6.270795048612386e-05	26.0	5.233
0.00027055689961905484	5.7682924813735474e-05	22.0	5.233
0.00014757649070130263	4.2601663316228686e-05	12.0	5.233
0.00013527844980952742	4.078798729446612e-05	11.0	5.233
3.689412267532566e-05	2.1300831658114343e-05	3.0	7.4
0.00020906669516017874	5.070612158495444e-05	17.0	7.4
0.00015987453159307786	4.434121702304844e-05	13.0	7.4
0.00046732555388745835	7.581021548234424e-05	38.0	7.4
0.0004919216356710088	7.777963995179598e-05	40.0	7.4
0.00023366277694372917	5.360591745077901e-05	19.0	7.4
0.00040583534942858227	7.064686633248915e-05	33.0	7.4
0.00034434514496970613	6.507511562588048e-05	28.0	7.4
0.0003197490631861557	6.270795048612386e-05	26.0	7.4
0.0003197490631861557	6.270795048612386e-05	26.0	7.4
0.00030745102229438046	6.14902044588761e-05	25.0	7.4
1.2298040891775219e-05	1.2298040891775219e-05	1.0	10.47
9.838432713420175e-05	3.478411243953486e-05	8.0	10.47
9.838432713420175e-05	3.478411243953486e-05	8.0	10.47
0.00028285494051083005	5.897933218376446e-05	23.0	10.47
0.0003566431858614814	6.622697700708895e-05	29.0	10.47
0.00027055689961905484	5.7682924813735474e-05	22.0	10.47
0.00028285494051083005	5.897933218376446e-05	23.0	10.47
0.00028285494051083005	5.897933218376446e-05	23.0	10.47
0.00027055689961905484	5.7682924813735474e-05	22.0	10.47
0.000393537308536807	6.956822487906972e-05	32.0	10.47
0.00027055689961905484	5.7682924813735474e-05	22.0	10.47
1.2298040891775219e-05	1.2298040891775219e-05	1.0	14.8
2.4596081783550438e-05	1.739205621976743e-05	2.0	14.8
6.14902044588761e-05	2.7499255424081526e-05	5.0	14.8
0.00015987453159307786	4.434121702304844e-05	13.0	14.8
0.0002582588587272796	5.635670328622216e-05	21.0	14.8
0.0002459608178355044	5.499851084816305e-05	20.0	14.8
0.0003197490631861557	6.270795048612386e-05	26.0	14.8
0.00023366277694372917	5.360591745077901e-05	19.0	14.8
0.0003197490631861557	6.270795048612386e-05	26.0	14.8
0.00029515298140260526	6.0247850041462974e-05	24.0	14.8
0.00034434514496970613	6.507511562588048e-05	28.0	14.8
