phi	phi_sigma	hist	SN2
4.913320898642915e-05	2.4566604493214573e-05	4.0	3.7
0.0001842495336991093	4.757302503754217e-05	15.0	3.7
0.0003562157651516113	6.614760697382575e-05	29.0	3.7
0.0005404652988507206	8.14782094770518e-05	44.0	3.7
0.0006018818100837571	8.5983115726251e-05	49.0	3.7
0.00044219888087786234	7.369981347964371e-05	36.0	3.7
0.00033164916065839674	6.382591072754627e-05	27.0	3.7
0.00031936585841178946	6.263279784680865e-05	26.0	3.7
0.0003070825561651822	6.141651123303644e-05	25.0	3.7
0.0003562157651516113	6.614760697382575e-05	29.0	3.7
0.00031936585841178946	6.263279784680865e-05	26.0	3.7
7.369981347964371e-05	3.0087822860570113e-05	6.0	5.233
0.0002825159516719676	5.8908648124657166e-05	23.0	5.233
0.000343932462905004	6.499712604632773e-05	28.0	5.233
0.0006018818100837571	8.5983115726251e-05	49.0	5.233
0.0006141651123303644	8.685606313939967e-05	50.0	5.233
0.0005036153921108988	7.865151033096447e-05	41.0	5.233
0.00044219888087786234	7.369981347964371e-05	36.0	5.233
0.0005404652988507206	8.14782094770518e-05	44.0	5.233
0.0002702326494253603	5.761379444016136e-05	22.0	5.233
0.00040534897413804045	7.056219926199687e-05	33.0	5.233
0.00031936585841178946	6.263279784680865e-05	26.0	5.233
8.5983115726251e-05	3.2498563023163864e-05	7.0	7.4
0.00023338274268553844	5.354167318592729e-05	19.0	7.4
0.000343932462905004	6.499712604632773e-05	28.0	7.4
0.00047904878761768416	7.670919794378505e-05	39.0	7.4
0.00040534897413804045	7.056219926199687e-05	33.0	7.4
0.00047904878761768416	7.670919794378505e-05	39.0	7.4
0.0003070825561651822	6.141651123303644e-05	25.0	7.4
0.00023338274268553844	5.354167318592729e-05	19.0	7.4
0.00029479925391857485	6.0175645721140226e-05	24.0	7.4
0.00020881613819232386	5.0645352594148554e-05	17.0	7.4
0.00020881613819232386	5.0645352594148554e-05	17.0	7.4
0.00011054972021946558	3.684990673982186e-05	9.0	10.47
0.00020881613819232386	5.0645352594148554e-05	17.0	10.47
0.0003562157651516113	6.614760697382575e-05	29.0	10.47
0.00042991557863125506	7.266899609085546e-05	35.0	10.47
0.0004544821831244696	7.471641065399075e-05	37.0	10.47
0.00040534897413804045	7.056219926199687e-05	33.0	10.47
0.0003684990673982186	6.727841721120696e-05	30.0	10.47
0.000343932462905004	6.499712604632773e-05	28.0	10.47
0.00024566604493214575	5.493259762317956e-05	20.0	10.47
0.0001965328359457166	4.913320898642915e-05	16.0	10.47
0.00024566604493214575	5.493259762317956e-05	20.0	10.47
4.913320898642915e-05	2.4566604493214573e-05	4.0	14.8
0.00022109944043893117	5.211363788363979e-05	18.0	14.8
0.00023338274268553844	5.354167318592729e-05	19.0	14.8
0.00015968292920589473	4.428807608216458e-05	13.0	14.8
0.0003070825561651822	6.141651123303644e-05	25.0	14.8
0.0003684990673982186	6.727841721120696e-05	30.0	14.8
0.0003930656718914332	6.948485051151973e-05	32.0	14.8
0.00011054972021946558	3.684990673982186e-05	9.0	14.8
0.000257949347178753	5.628916232909902e-05	21.0	14.8
0.00020881613819232386	5.0645352594148554e-05	17.0	14.8
0.0003070825561651822	6.141651123303644e-05	25.0	14.8
